station,lat,lon,year,tmax,tmin,airfrost,rain,sun
Waddington,53.175,-0.522,2001,21.7,-0.1,4.41666666666667,53.1916666666667,134.058333333333
Waddington,53.175,-0.522,2002,21.5,2,1.25,61.1333333333333,126.891666666667
Waddington,53.175,-0.522,2003,22.9,0.2,3.66666666666667,43.025,160.508333333333
Waddington,53.175,-0.522,2004,21.8,2.1,2.83333333333333,60.5333333333333,134.9
Waddington,53.175,-0.522,2005,20.9,1.6,3.08333333333333,46.9916666666667,138.958333333333
Waddington,53.175,-0.522,2006,25.8,1.2,2.83333333333333,47.6583333333333,141.483333333333
Waddington,53.175,-0.522,2007,20.6,2.4,1.75,64.3083333333333,136.2
Waddington,53.175,-0.522,2008,21.2,1.1,2.83333333333333,60.4166666666667,136.6
Waddington,53.175,-0.522,2009,21.6,0.6,3.25,46.55,134.233333333333
Waddington,53.175,-0.522,2010,22.3,-3.3,5.75,53.9833333333333,126.683333333333
Waddington,53.175,-0.522,2011,20.5,1.2,2,35.2916666666667,123.133333333333
Waddington,53.175,-0.522,2012,21.4,0.9,2.91666666666667,68.9,112.258333333333
Waddington,53.175,-0.522,2013,23.4,-0.2,5,43.1333333333333,124.875
Waddington,53.175,-0.522,2014,23.4,2.1,1.75,52.0333333333333,120.941666666667
Waddington,53.175,-0.522,2015,21.3,1.1,2,44.4583333333333,126.35
Valley,53.252,-4.535,1930,8.6,5.5,0,130.3,31.5
Valley,53.252,-4.535,1931,16.9,2.4,0.5,70.975,117.9
Valley,53.252,-4.535,1932,18.4,3.5,0.25,70.0916666666667,125.108333333333
Valley,53.252,-4.535,1933,19.7,2.9,0.666666666666667,49.4583333333333,139.6
Valley,53.252,-4.535,1934,19.6,3.7,0,76.7833333333333,131.541666666667
Valley,53.252,-4.535,1935,18,3.8,0.25,74.9,138.741666666667
Valley,53.252,-4.535,1936,17.7,2.9,0.25,80.2833333333333,130.116666666667
Valley,53.252,-4.535,1937,18.5,2.2,0.333333333333333,70.4666666666667,120.85
Valley,53.252,-4.535,1938,17.4,4.2,0.333333333333333,80.2333333333333,127.083333333333
Valley,53.252,-4.535,1939,18.4,3.8,0.333333333333333,71.2083333333333,135.425
Valley,53.252,-4.535,1940,17.9,0.5,1.83333333333333,74.9083333333333,132.308333333333
Valley,53.252,-4.535,1941,18.9,0.7,1.25,62.3909090909091,127.125
Valley,53.252,-4.535,1942,18.4,-0.7,2.58333333333333,73.15,126.791666666667
Valley,53.252,-4.535,1943,19.4,2.4,1.91666666666667,69.0833333333333,139.533333333333
Valley,53.252,-4.535,1944,19.8,2.5,1.5,68.0916666666667,118.95
Valley,53.252,-4.535,1945,19.5,-0.8,1.83333333333333,49.35,128.958333333333
Valley,53.252,-4.535,1946,17.3,1.8,2.16666666666667,77.875,130.658333333333
Valley,53.252,-4.535,1947,23.7,-3,4.41666666666667,70.4333333333333,133.325
Valley,53.252,-4.535,1948,17.8,2.8,1.5,73.225,136.766666666667
Valley,53.252,-4.535,1949,20,2.7,1,58.175,152.825
Valley,53.252,-4.535,1950,18.2,1.5,2.16666666666667,75.8416666666667,134.366666666667
Valley,53.252,-4.535,1951,17.9,2.1,1.16666666666667,82.9333333333333,138.516666666667
Valley,53.252,-4.535,1952,19.1,2.3,2.25,64.7666666666667,130.516666666667
Valley,53.252,-4.535,1953,18.6,2.2,1.5,64.1333333333333,136.141666666667
Valley,53.252,-4.535,1954,16.4,0.7,1.75,87.125,125.783333333333
Valley,53.252,-4.535,1955,21.8,0,3.25,53.6916666666667,158
Valley,53.252,-4.535,1956,18,-1.6,2.58333333333333,72.8583333333333,138.8
Valley,53.252,-4.535,1957,18.7,2.6,1,85.7666666666667,135.2
Valley,53.252,-4.535,1958,18.1,1.1,2.25,87.0833333333333,114.95
Valley,53.252,-4.535,1959,20.3,1.6,1.41666666666667,69.5166666666667,151.658333333333
Valley,53.252,-4.535,1960,18.9,2.1,1.83333333333333,87.1,144.125
Valley,53.252,-4.535,1961,17.9,1.5,1.91666666666667,88.05,133.441666666667
Valley,53.252,-4.535,1962,17.4,0.3,2.66666666666667,60.8083333333333,138.158333333333
Valley,53.252,-4.535,1963,17.4,-2.8,4.66666666666667,65.3166666666667,138.416666666667
Valley,53.252,-4.535,1964,18.3,2.9,1.83333333333333,69.2916666666667,124.475
